iter	Logloss
0	0.6822885463
1	0.6719230543
2	0.6618184907
3	0.6521873552
4	0.6406910278
5	0.6307894779
6	0.6240278685
7	0.615224889
8	0.6074915849
9	0.5997476714
10	0.5930185767
11	0.5856454299
12	0.5785448195
13	0.5726454409
14	0.5669712933
15	0.5624320375
16	0.5582145582
17	0.554081829
18	0.5494229993
19	0.543844461
20	0.5404176302
21	0.5356315504
22	0.5320216142
23	0.5279673321
24	0.5235661232
25	0.5201763941
26	0.5155399377
27	0.5129562409
28	0.5098108085
29	0.5067514681
30	0.5040327513
31	0.5012398936
32	0.4975905467
33	0.4955511425
34	0.4922232599
35	0.4887377967
36	0.4866265607
37	0.4848741403
38	0.4827081723
39	0.4812435158
40	0.4794498436
41	0.4779233094
42	0.4761185285
43	0.4748372583
44	0.4732617649
45	0.4716169673
46	0.470463821
47	0.4686436565
48	0.4676434414
49	0.4662783258
50	0.4648507397
51	0.4635298715
52	0.461333386
53	0.4602962564
54	0.4588084153
55	0.45776492
56	0.4566360193
57	0.45529724
58	0.4541265882
59	0.4528212908
60	0.4518406718
61	0.4508995883
62	0.4494925033
63	0.4484993714
64	0.4473927192
65	0.4462850372
66	0.445255927
67	0.4447290463
68	0.4440036766
69	0.4430594103
70	0.4418499718
71	0.4407795475
72	0.4401313766
73	0.4390306843
74	0.4381879561
75	0.4372676857
76	0.4365650325
77	0.4358332035
78	0.4348279957
79	0.4339991532
80	0.433434422
81	0.4329008637
82	0.43224018
83	0.4319471114
84	0.431259873
85	0.4304952173
86	0.4298038288
87	0.4292521408
88	0.4288150343
89	0.4283487831
90	0.4278043657
91	0.4272034066
92	0.4266582403
93	0.4259609542
94	0.4252593308
95	0.4245975549
96	0.4240426842
97	0.4235126831
98	0.4231299028
99	0.422680377
100	0.4223167872
101	0.4218999321
102	0.4215845213
103	0.4210835712
104	0.4206634709
105	0.4204879168
106	0.4199746099
107	0.4192399413
108	0.4186823246
109	0.4183317781
110	0.4180423916
111	0.4175911184
112	0.4173066621
113	0.4167121622
114	0.4164365679
115	0.4162210414
116	0.4156530025
117	0.4154286765
118	0.4147439968
119	0.4140622504
120	0.413697038
121	0.4134809186
122	0.4132767192
123	0.4129196822
124	0.4128322172
125	0.4125508501
126	0.412209384
127	0.4118496947
128	0.4114204516
129	0.4111672306
130	0.4109097658
131	0.4105345057
132	0.4103513066
133	0.4101169329
134	0.4098111018
135	0.409483896
136	0.4092089569
137	0.4088553524
138	0.4081422147
139	0.4077601521
140	0.4075455929
141	0.4072524619
142	0.4070701053
143	0.4067279839
144	0.406466369
145	0.4063415215
146	0.4058268728
147	0.4057546978
148	0.4053281382
149	0.4050280175
150	0.4047996661
151	0.4044788571
152	0.4042960637
153	0.4038723749
154	0.4035359326
155	0.4033920194
156	0.4031052541
157	0.4029670825
158	0.4029014915
159	0.4027109595
160	0.4024853541
161	0.4022623698
162	0.4020611036
163	0.4018897932
164	0.401330866
165	0.4010739941
166	0.400501025
167	0.4003148615
168	0.4000055044
169	0.3997930671
170	0.3996738052
171	0.3995931114
172	0.3993818599
173	0.3991440849
174	0.3989048433
175	0.3987615854
176	0.3986025695
177	0.3983877295
178	0.3982379188
179	0.3980968764
180	0.3977796871
181	0.3973867342
182	0.3972921859
183	0.3970182766
184	0.3969113715
185	0.3967263937
186	0.3965713095
187	0.3964120752
188	0.3961552969
189	0.3959721914
190	0.3958289024
191	0.3956850204
192	0.3956071975
193	0.395431737
194	0.3953659588
195	0.3951975193
196	0.3950933289
197	0.3949017983
198	0.3948236945
199	0.3946482028
200	0.3944984233
201	0.3943185007
202	0.3942373077
203	0.3940737672
204	0.393739322
205	0.3936563191
206	0.3935042305
207	0.3933267106
208	0.3932382158
209	0.3930683097
210	0.3929103547
211	0.3924939052
212	0.3922703281
213	0.3920148916
214	0.391912199
215	0.3917467862
216	0.3916268066
217	0.3915262983
218	0.3914016068
219	0.3913254689
220	0.3911442981
221	0.3909786045
222	0.3909155099
223	0.3908248933
224	0.3907375843
225	0.3906570154
226	0.3904972505
227	0.3903228198
228	0.3902361037
229	0.3899906837
230	0.3897532208
231	0.3896243792
232	0.3893715326
233	0.3892681223
234	0.3891805637
235	0.3890088477
236	0.3889314928
237	0.3888230899
238	0.3887857698
239	0.3885203793
240	0.3883661063
241	0.388301826
242	0.3881342289
243	0.3879820779
244	0.3877103217
245	0.3875372015
246	0.3873437363
247	0.3868449705
248	0.3867704863
249	0.3866789024
250	0.3865068432
251	0.3863249859
252	0.3862354614
253	0.386187844
254	0.3860987564
255	0.3860303883
256	0.3859318458
257	0.3858493735
258	0.385762751
259	0.3856592159
260	0.3854844419
261	0.3853691117
262	0.3852418303
263	0.3851643506
264	0.3850724234
265	0.384976034
266	0.3848389234
267	0.3847049019
268	0.3846050177
269	0.3845243551
270	0.3844507135
271	0.3843988836
272	0.3843066132
273	0.3842596198
274	0.3841944657
275	0.3841418557
276	0.3840999174
277	0.3840625349
278	0.3839842439
279	0.3839052664
280	0.3837956154
281	0.3836032111
282	0.383470781
283	0.3834202928
284	0.3833105793
285	0.3832594047
286	0.3831956235
287	0.3831223564
288	0.3830612276
289	0.3829650255
290	0.3828851431
291	0.3828468869
292	0.3827997375
293	0.3827573312
294	0.3826760446
295	0.3826248699
296	0.3825216157
297	0.3823833817
298	0.3823376053
299	0.3822990995
300	0.3821930368
301	0.3821359958
302	0.3820157977
303	0.3819045552
304	0.3818120352
305	0.3817635441
306	0.381704974
307	0.3816153559
308	0.3814375864
309	0.3812539504
310	0.381176658
311	0.380941941
312	0.38087039
313	0.3808241144
314	0.3807222643
315	0.3805979473
316	0.3804642691
317	0.3803623254
318	0.3802412536
319	0.3801816539
320	0.3801557545
321	0.3801010537
322	0.3800745927
323	0.3799984236
324	0.3799614155
325	0.3798844351
326	0.3798350703
327	0.3797740663
328	0.3796997694
329	0.3796323062
330	0.3795371962
331	0.379311154
332	0.3792662201
333	0.3791797849
334	0.3791511395
335	0.3789681901
336	0.3788696164
337	0.378808082
338	0.3787431151
339	0.3786434805
340	0.3785375115
341	0.378492328
342	0.3783740334
343	0.3783247934
344	0.3782762399
345	0.3782264382
346	0.3780801223
347	0.3780230813
348	0.3779642304
349	0.3778313947
350	0.3777408093
351	0.3775973642
352	0.3775290273
353	0.3774736713
354	0.3774185025
355	0.3773295085
356	0.3772622013
357	0.3772284073
358	0.3771640021
359	0.3771115168
360	0.3768654728
361	0.3768227232
362	0.3767680849
363	0.3767396892
364	0.3766730373
365	0.3765573014
366	0.3765210111
367	0.3764718959
368	0.376320837
369	0.3762859196
370	0.3761741779
371	0.3760583796
372	0.3760022747
373	0.3759374014
374	0.3758627301
375	0.3757817867
376	0.3757336076
377	0.3756698265
378	0.375615157
379	0.3755647312
380	0.3755194853
381	0.3754532703
382	0.3754035934
383	0.3752861413
384	0.3752399593
385	0.3752095041
386	0.3751789865
387	0.3751155175
388	0.375042812
389	0.3748512502
390	0.3748037264
391	0.3747117368
392	0.3746463955
393	0.3745510983
394	0.374479641
395	0.3744125522
396	0.3743680552
397	0.3742682958
398	0.3742028609
399	0.3739168444
400	0.3738806477
401	0.3737925898
402	0.3737344878
403	0.3736665878
404	0.3735793724
405	0.3734924379
406	0.3733747049
407	0.3733438129
408	0.373264617
409	0.3732048924
410	0.3731526256
411	0.3731210159
412	0.3730889381
413	0.3729898028
414	0.372910014
415	0.3728700103
416	0.3727998636
417	0.3727606401
418	0.3727177033
419	0.372684471
420	0.3726533293
421	0.372586459
422	0.3725333809
423	0.3725018648
424	0.3724702862
425	0.3724179258
426	0.3723692163
427	0.3723313657
428	0.372282781
429	0.3722286419
430	0.3721515991
431	0.3720198243
432	0.3719834716
433	0.3719379136
434	0.3719082386
435	0.3718547236
436	0.3717500652
437	0.3717197036
438	0.3716617264
439	0.3716281509
440	0.3713803594
441	0.3713320243
442	0.3712990728
443	0.3712437167
444	0.371202465
445	0.3711572191
446	0.3711227698
447	0.3710910665
448	0.3710612978
449	0.370997267
450	0.3709654701
451	0.3709108318
452	0.3708773186
453	0.3708446167
454	0.3708116028
455	0.3707603657
456	0.3707052594
457	0.3706077779
458	0.3705781964
459	0.3704988445
460	0.3704486995
461	0.370366352
462	0.3703213245
463	0.3702899644
464	0.3702614751
465	0.3702278371
466	0.3701990982
467	0.3701664275
468	0.3701358475
469	0.3701047059
470	0.3700735018
471	0.3700444196
472	0.3699626025
473	0.3699114279
474	0.3698783516
475	0.3698522026
476	0.3697798715
477	0.3697470761
478	0.3697151543
479	0.3696884436
480	0.3696576452
481	0.3695707107
482	0.3695268689
483	0.3694793764
484	0.3694007733
485	0.3692200081
486	0.3691915812
487	0.3691621246
488	0.3689678481
489	0.3689359575
490	0.3689063449
491	0.3688546085
492	0.3688204089
493	0.3687913579
494	0.3687619948
495	0.3687351593
496	0.3687092912
497	0.3686830798
498	0.3685999209
499	0.3685327386
500	0.3685028139
501	0.368456039
502	0.3683771863
503	0.3683331573
504	0.3682327739
505	0.3681474619
506	0.3680918563
507	0.3680660505
508	0.3680210855
509	0.3679864489
510	0.3679459773
511	0.3678850357
512	0.3678339859
513	0.3677710473
514	0.367746084
515	0.3677187493
516	0.3676937548
517	0.3676443275
518	0.367605104
519	0.3675496544
520	0.3674611597
521	0.3673802787
522	0.3673531624
523	0.3673280431
524	0.3672567106
525	0.3672285021
526	0.3671886546
527	0.3671474964
528	0.3670302315
529	0.3669579317
530	0.3668811385
531	0.3668320857
532	0.3668069976
533	0.3667667131
534	0.3667066453
535	0.3666816821
536	0.3665922512
537	0.3665712197
538	0.3665236959
539	0.366434265
540	0.3663524792
541	0.3663279528
542	0.3662294415
543	0.3662024188
544	0.366151837
545	0.366130431
546	0.3660942343
547	0.3660675548
548	0.366043278
549	0.3659879532
550	0.3659498843
551	0.3659110664
552	0.3658867896
553	0.3658632618
554	0.365782256
555	0.3657468082
556	0.3657205968
557	0.3656764742
558	0.3655899766
